Title,Experience,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site,Amount,Currency,Amount_EGP,category,Experience Years
Data Analyst,1.5,14000,7/17/2025 0:00,Egyption,On Site,Full Time,Cairo,14000,EGP,14000,Data-Science,1.5
Data Analyst,2,7k,6/30/2025 0:00,Egyption,On Site,Full Time,Mansoura,7000,EGP,7000,Data-Science,2
Data Analyst,2,9000,7/31/2025 0:00,Egyption,Hybird,Part Time,Cairo,9000,EGP,9000,Data-Science,2
Data Analyst,2,13,7/15/2025 0:00,Egyption,On Site,Full Time,"Alexandria , Borg Alarab",13000,EGP,13000,Data-Science,2
Data Analyst,2,22,7/16/2025 0:00,Egyption,On Site,Full Time,Cairo ,22000,EGP,22000,Data-Science,2
Data Analyst,2,24000,10/1/2024 0:00,Egyption,On Site,Full Time,cairo,24000,EGP,24000,Data-Science,2
Data Analyst,2,35000,4/15/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Cairo,35000,EGP,35000,Data-Science,2
Data Analyst,2.5,32000,1/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,32000,EGP,32000,Data-Science,2.5
Data Analyst,3,80000,2/1/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,Dubai,80000,EGP,80000,Data-Science,3
Data Analyst,4,27500,6/30/2025 0:00,Egyption,Remotley,Full Time,Cairo,27500,EGP,27500,Data-Science,4
Data Analyst,5,30000,6/30/2025 0:00,Egyption,On Site,Full Time,Cairo ,30000,EGP,30000,Data-Science,5
Data Analyst,6,1470 USD,7/25/2025 0:00,Not Egyption but site in egypt,Remotley,Full Time,Riyadh,1470,USD,71353.8,Data-Science,6
Data Analyst,8,35,7/17/2025 0:00,Egyption,On Site,Full Time,Cairo,35000,EGP,35000,Data-Science,8
Data Analyst,1,16000,7/22/2025 0:00,Egyption,Hybird,Full Time,Cairo,16000,EGP,16000,Data-Science,1
Data Analyst Purchasing,2,42000,7/16/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,Germany,42000,EGP,42000,Data-Science,2
Data Analytics Consultant,4,50000,1/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,"Cairo, multinational HQ Itlay",50000,EGP,50000,Data-Science,4
Data Analytics Engineer,3,55000,7/1/2025 0:00,Not Egyption but site in egypt,Hybird,Full Time,New Cairo,55000,EGP,55000,Data-Science,3
Data Center Engineer,1,15,7/17/2025 0:00,Egyption,Hybird,Full Time,Cairo,15000,EGP,15000,Data-Science,1
Data Engineed,4,70000,7/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,70000,EGP,70000,Data-Science,4
Data Engineer,0,15000,7/1/2025 0:00,Egyption,Hybird,Full Time,Cairo ,15000,EGP,15000,Data-Science,0
Data Engineer,1,22000,3/1/2025 0:00,Egyption,Hybird,Full Time,Cairo,22000,EGP,22000,Data-Science,1
